i VIFF SSIM CC MSE
0 0.737644534815857 1.5202414774985193 0.8262830972671509 0.026244528591632843
1 0.7351637293602177 1.56202532284061 0.8337314128875732 0.02124343067407608
2 0.709969749536678 1.5653714676425932 0.8304733633995056 0.02060048282146454
3 0.6759307072682816 1.5169207068188442 0.8203516006469727 0.02398960292339325
4 0.6505248506134619 1.5319705727101187 0.8237760663032532 0.02478557452559471
5 0.7067783511332171 1.5570977293189132 0.8358062505722046 0.023422911763191223
6 0.6962607929802549 1.556041721239217 0.8406882286071777 0.022774169221520424
7 0.6871564331072244 1.5741624612441432 0.8389648199081421 0.0212254598736763
8 0.6794417102111432 1.6182664979480357 0.8382306098937988 0.021151985973119736
9 0.7031043544613029 1.637146508402227 0.847541332244873 0.019602781161665916
10 0.8050091060450841 1.4902072447428176 0.8048440217971802 0.03563542664051056
11 0.8207678576879145 1.4987171716659162 0.8239322900772095 0.03135089576244354
12 0.7913173286529139 1.5255511902478707 0.8372650146484375 0.02648225612938404
13 0.7696642135608726 1.5463843360246732 0.8348182439804077 0.025061892345547676
14 0.7327959830821096 1.5613624487169417 0.8480813503265381 0.023392101749777794
15 0.6578289288697403 1.572636623384184 0.8474999666213989 0.02378232777118683
16 0.5730821507206396 1.588500089578201 0.840054988861084 0.0237082839012146
17 0.5353835934461986 1.596824386199717 0.834505021572113 0.023245785385370255
18 0.5174492705727578 1.6067222609473213 0.832568883895874 0.023359058424830437
19 0.5210308978595339 1.6240322537501581 0.8326705694198608 0.02340361848473549
20 0.5526258297225454 1.6487114717366884 0.8483898639678955 0.02233472838997841


Avg21MR-CT 0.679 1.5666 0.8343 0.0241
i VIFF SSIM CC MSE
0 0.737644534815857 1.5202414774985193 0.8262830972671509 0.026244528591632843
1 0.7351637293602177 1.56202532284061 0.8337314128875732 0.02124343067407608
2 0.709969749536678 1.5653714676425932 0.8304733633995056 0.02060048282146454
3 0.6759307072682816 1.5169207068188442 0.8203516006469727 0.02398960292339325
4 0.6505248506134619 1.5319705727101187 0.8237760663032532 0.02478557452559471
5 0.7067783511332171 1.5570977293189132 0.8358062505722046 0.023422911763191223
6 0.6962607929802549 1.556041721239217 0.8406882286071777 0.022774169221520424
7 0.6871564331072244 1.5741624612441432 0.8389648199081421 0.0212254598736763
8 0.6794417102111432 1.6182664979480357 0.8382306098937988 0.021151985973119736
9 0.7031043544613029 1.637146508402227 0.847541332244873 0.019602781161665916
10 0.8050091060450841 1.4902072447428176 0.8048440217971802 0.03563542664051056
11 0.8207678576879145 1.4987171716659162 0.8239322900772095 0.03135089576244354
12 0.7913173286529139 1.5255511902478707 0.8372650146484375 0.02648225612938404
13 0.7696642135608726 1.5463843360246732 0.8348182439804077 0.025061892345547676
14 0.7327959830821096 1.5613624487169417 0.8480813503265381 0.023392101749777794
15 0.6578289288697403 1.572636623384184 0.8474999666213989 0.02378232777118683
16 0.5730821507206396 1.588500089578201 0.840054988861084 0.0237082839012146
17 0.5353835934461986 1.596824386199717 0.834505021572113 0.023245785385370255
18 0.5174492705727578 1.6067222609473213 0.832568883895874 0.023359058424830437
19 0.5210308978595339 1.6240322537501581 0.8326705694198608 0.02340361848473549
20 0.5526258297225454 1.6487114717366884 0.8483898639678955 0.02233472838997841


Avg21MR-CT 0.679 1.5666 0.8343 0.0241
