i VIFF SSIM CC MSE
0 0.9284496231265551 1.4322504286524262 0.7168097496032715 0.034862056374549866
1 0.8935318181054517 1.44115497043332 0.7336667776107788 0.03485831618309021
2 0.9105795539835699 1.4430199188348705 0.7355000972747803 0.033969730138778687
3 0.9213975039995875 1.452531106176494 0.7550843954086304 0.03139094263315201
4 0.8944146064623162 1.473714153252666 0.7865319848060608 0.03110227733850479
5 0.903339961459217 1.5037336520527986 0.8226478099822998 0.02785106562077999
6 0.8895170797210654 1.4993469648811009 0.824293315410614 0.026338206604123116
7 0.9098397830908866 1.5213490358532327 0.8195070028305054 0.02517058327794075
8 0.8942604410973689 1.5306081341264872 0.834768533706665 0.025941137224435806
9 0.9282892212276627 1.5407879722867448 0.8595901131629944 0.0246858149766922
10 0.9173587350047763 1.541519832852813 0.8653343915939331 0.025714926421642303
11 0.914835897973603 1.5407972747972773 0.8615381717681885 0.025335971266031265
12 0.910157116709895 1.5586144653987501 0.8649415969848633 0.021494798362255096
13 0.8788477326941788 1.5562692250416368 0.8460199236869812 0.02187265455722809
14 0.8578527523837041 1.5691070589085712 0.838808536529541 0.023559115827083588
15 0.8873801983062952 1.6000924068141007 0.8482670187950134 0.02248399332165718
16 0.901809000434749 1.6139700300279678 0.8510239124298096 0.02185586653649807
17 0.8731055133486181 1.62973774222481 0.8322148323059082 0.023423463106155396
18 0.9717972667017406 1.6706398861542495 0.8229387998580933 0.021156102418899536
19 0.9858136040589989 1.6940753783106666 0.7785521745681763 0.020131915807724
20 0.9694609756639985 1.7427512017840976 0.7286916375160217 0.0129372114315629
21 0.7793330286271654 1.495917083039414 0.7488656044006348 0.020696939900517464
22 0.7793590022006679 1.4868105055113938 0.7421630620956421 0.02341492846608162
23 0.8631253711029094 1.474676266812354 0.7597451210021973 0.021421194076538086
24 0.8362438461978996 1.4771986807763007 0.7664202451705933 0.021005133166909218
25 0.8764262929371882 1.4802587129995641 0.7623323202133179 0.02579794079065323
26 0.810437518602234 1.4744985613116657 0.7584774494171143 0.032045669853687286
27 0.853296446482714 1.4704377670560067 0.764722466468811 0.03174620866775513
28 0.7905970741856253 1.4780426085739151 0.7907544374465942 0.026674095541238785
29 0.7683934866452409 1.4776115588560776 0.7838926315307617 0.029847120866179466
30 0.7305841751470414 1.4598654584576596 0.7915317416191101 0.03329218551516533
31 0.6513990682456983 1.450612879253399 0.7749717235565186 0.039033569395542145
32 0.6520958716620769 1.472307867210794 0.7784894704818726 0.039078231900930405
33 0.7582650853616237 1.5027121255967253 0.7645118236541748 0.0351705439388752
34 0.8336631211324936 1.5545220047738206 0.8221264481544495 0.02285318449139595
35 0.8329032745406221 1.5839258493821833 0.8574345111846924 0.02022998407483101
36 0.7834463437489007 1.592823232273611 0.8643706440925598 0.019937029108405113
37 0.7778997551786737 1.6139630251474313 0.8512626886367798 0.021089721471071243
38 0.735272437253288 1.6415826551081896 0.8730591535568237 0.018244320526719093
39 0.6703961461072748 1.6823179268126345 0.8827049732208252 0.014752045273780823
40 0.6360982382760384 1.7344502303242613 0.9126476645469666 0.009495235048234463
41 0.8512378987862103 1.794778336064552 0.9173250794410706 0.006322245113551617


Avg42MR-PET 0.8432 1.5466 0.8094 0.025
i VIFF SSIM CC MSE
0 0.9284496231265551 1.4322504286524262 0.7168097496032715 0.034862056374549866
1 0.8935318181054517 1.44115497043332 0.7336667776107788 0.03485831618309021
2 0.9105795539835699 1.4430199188348705 0.7355000972747803 0.033969730138778687
3 0.9213975039995875 1.452531106176494 0.7550843954086304 0.03139094263315201
4 0.8944146064623162 1.473714153252666 0.7865319848060608 0.03110227733850479
5 0.903339961459217 1.5037336520527986 0.8226478099822998 0.02785106562077999
6 0.8895170797210654 1.4993469648811009 0.824293315410614 0.026338206604123116
7 0.9098397830908866 1.5213490358532327 0.8195070028305054 0.02517058327794075
8 0.8942604410973689 1.5306081341264872 0.834768533706665 0.025941137224435806
9 0.9282892212276627 1.5407879722867448 0.8595901131629944 0.0246858149766922
10 0.9173587350047763 1.541519832852813 0.8653343915939331 0.025714926421642303
11 0.914835897973603 1.5407972747972773 0.8615381717681885 0.025335971266031265
12 0.910157116709895 1.5586144653987501 0.8649415969848633 0.021494798362255096
13 0.8788477326941788 1.5562692250416368 0.8460199236869812 0.02187265455722809
14 0.8578527523837041 1.5691070589085712 0.838808536529541 0.023559115827083588
15 0.8873801983062952 1.6000924068141007 0.8482670187950134 0.02248399332165718
16 0.901809000434749 1.6139700300279678 0.8510239124298096 0.02185586653649807
17 0.8731055133486181 1.62973774222481 0.8322148323059082 0.023423463106155396
18 0.9717972667017406 1.6706398861542495 0.8229387998580933 0.021156102418899536
19 0.9858136040589989 1.6940753783106666 0.7785521745681763 0.020131915807724
20 0.9694609756639985 1.7427512017840976 0.7286916375160217 0.0129372114315629
21 0.7793330286271654 1.495917083039414 0.7488656044006348 0.020696939900517464
22 0.7793590022006679 1.4868105055113938 0.7421630620956421 0.02341492846608162
23 0.8631253711029094 1.474676266812354 0.7597451210021973 0.021421194076538086
24 0.8362438461978996 1.4771986807763007 0.7664202451705933 0.021005133166909218
25 0.8764262929371882 1.4802587129995641 0.7623323202133179 0.02579794079065323
26 0.810437518602234 1.4744985613116657 0.7584774494171143 0.032045669853687286
27 0.853296446482714 1.4704377670560067 0.764722466468811 0.03174620866775513
